Date,Price,Open,High,Low,Vol.,Change %
2021-11-30,2839.01,2932.71,2942.93,2822.73,983.56M,-2.42%
2021-11-29,2909.32,2906.15,2930.22,2890.78,844.40M,-0.92%
2021-11-26,2936.44,2973.04,2985.77,2930.31,595.60M,-1.47%
2021-11-25,2980.27,2996.74,2996.74,2973.24,595.97M,-0.47%
2021-11-24,2994.29,3006.34,3017.9,2981.02,556.64M,-0.10%
2021-11-23,2997.33,3013.16,3016.36,2992.14,524.23M,-0.53%
2021-11-22,3013.25,2983.38,3018.01,2980.73,530.96M,1.42%
2021-11-19,2971.02,2951.06,2974.64,2948.07,657.09M,0.80%
2021-11-18,2947.38,2959.26,2964.48,2937.53,541.65M,-0.51%
2021-11-17,2962.42,3004.02,3004.67,2957.7,541.49M,-1.16%
2021-11-16,2997.21,2995.68,3011.88,2985.34,579.65M,-0.08%
2021-11-15,2999.52,2989.68,3003.71,2979.96,639.40M,1.03%
2021-11-12,2968.8,2945.95,2973.84,2938.27,665.73M,1.50%
2021-11-11,2924.92,2911.41,2925.19,2903.72,572.86M,-0.18%
2021-11-10,2930.17,2947.46,2958.61,2924.36,570.93M,-1.09%
2021-11-09,2962.46,2958.15,2987.28,2949.17,708.77M,0.08%
2021-11-08,2960.2,2965.36,2968.18,2930.9,560.20M,-0.31%
2021-11-05,2969.27,3003.53,3003.53,2953.96,688.03M,-0.47%
2021-11-04,2983.22,3000.92,3011.56,2978.07,772.02M,0.25%
2021-11-03,2975.71,3020.36,3020.87,2969.01,658.65M,-1.25%
2021-11-02,3013.49,2995.58,3034.3,2995.58,525.85M,1.16%
2021-11-01,2978.94,2984.18,2991.81,2976.87,475.38M,0.28%
2021-10-29,2970.68,3025.67,3030.17,2965.4,545.83M,-1.29%
2021-10-28,3009.55,3023.17,3034.42,3009.55,617.26M,-0.53%
2021-10-27,3025.49,3045.83,3049.02,3019,607.88M,-0.77%
2021-10-26,3049.08,3039.82,3051.65,3030.53,564.56M,0.94%
2021-10-25,3020.54,3001.1,3025.27,2983.29,791.80M,0.48%
2021-10-22,3006.16,3005.36,3018.7,2996.26,695.27M,-0.04%
2021-10-21,3007.33,3012.28,3025.88,3002.74,887.37M,-0.19%
2021-10-20,3013.13,3043.13,3047.24,3012.97,680.33M,-0.53%
2021-10-19,3029.04,3022.23,3034.53,3014.19,845.70M,0.74%
2021-10-18,3006.68,3017.48,3021.17,2990.44,926.37M,-0.28%
2021-10-15,3015.06,3012.62,3021.9,2999.33,857.80M,0.88%
2021-10-14,2988.64,2968.87,2988.97,2962.33,617.17M,1.50%
2021-10-13,2944.41,2913.34,2953.33,2909.47,752.13M,0.96%
2021-10-12,2916.38,2950.22,2950.94,2901.51,660.18M,-1.35%
2021-10-08,2956.3,2977.82,2978.08,2949.01,668.95M,-0.11%
2021-10-07,2959.46,2936.87,2961.53,2927.6,595.38M,1.76%
2021-10-06,2908.31,2986.06,2993.47,2908.3,901.72M,-1.82%
2021-10-05,2962.17,2998.17,2998.17,2940.59,840.56M,-1.89%
2021-10-01,3019.18,3056.21,3062.6,3015.01,855.48M,-1.62%
2021-09-30,3068.82,3054.87,3079.43,3046.43,885.82M,0.28%
2021-09-29,3060.27,3055.5,3069.04,3030.6,821.56M,-1.22%
2021-09-28,3097.92,3133.4,3134.46,3095.72,894.91M,-1.14%
2021-09-27,3133.64,3121.7,3146.35,3119.26,883.23M,0.27%
2021-09-24,3125.24,3140.73,3146.86,3119.4,753.22M,-0.07%
2021-09-23,3127.58,3123.64,3131.63,3107.98,623.84M,-0.41%
2021-09-17,3140.51,3127.75,3142.13,3112.51,589.24M,0.33%
2021-09-16,3130.09,3165.38,3167.68,3126.65,612.87M,-0.74%
2021-09-15,3153.4,3147.21,3164.01,3138.8,616.56M,0.15%
2021-09-14,3148.83,3137.32,3164.31,3137.32,713.23M,0.67%
2021-09-13,3127.86,3117.35,3139.13,3109.01,732.27M,0.07%
2021-09-10,3125.76,3121.09,3131.54,3103.38,723.08M,0.36%
2021-09-09,3114.7,3146.64,3158.6,3111.49,927.37M,-1.53%
2021-09-08,3162.99,3178.74,3187.55,3157.07,859.89M,-0.77%
2021-09-07,3187.42,3200.07,3201.76,3176.81,760.16M,-0.50%
2021-09-06,3203.33,3196.3,3206.25,3186.79,726.19M,0.07%
2021-09-03,3201.06,3189.71,3203.08,3181.64,641.51M,0.79%
2021-09-02,3175.85,3198.03,3204.01,3171.78,757.86M,-0.97%
2021-09-01,3207.02,3195.67,3215.13,3185.8,746.71M,0.24%
2021-08-31,3199.27,3144.49,3199.89,3130.3,661.22M,1.75%
2021-08-30,3144.19,3160.87,3164.87,3132.77,602.86M,0.33%
2021-08-27,3133.9,3116.29,3143.01,3106.97,520.67M,0.17%
2021-08-26,3128.53,3151.3,3159.37,3121.04,727.72M,-0.58%
2021-08-25,3146.81,3148.13,3161,3124.25,624.69M,0.27%
2021-08-24,3138.3,3119.7,3142.58,3115.23,586.53M,1.56%
2021-08-23,3090.21,3086.81,3111.81,3064.65,570.98M,0.97%
2021-08-20,3060.51,3111.1,3122.09,3049.03,672.09M,-1.20%
2021-08-19,3097.83,3140.01,3158,3097.83,655.63M,-1.93%
2021-08-18,3158.93,3141.98,3175.88,3124.56,622.79M,0.50%
2021-08-17,3143.09,3169.74,3179.49,3134.48,690.84M,-0.89%
2021-08-13,3171.29,3205.75,3209.72,3146.76,696.47M,-1.16%
2021-08-12,3208.38,3213.58,3229.59,3202.11,643.28M,-0.38%
2021-08-11,3220.62,3235.36,3250.21,3217.65,618.09M,-0.70%
2021-08-10,3243.19,3272.44,3272.44,3232.46,730.35M,-0.53%
2021-08-09,3260.42,3258.1,3275.15,3251.74,707.65M,-0.30%
2021-08-06,3270.36,3277.06,3288.17,3261.93,941.36M,-0.18%
2021-08-05,3276.13,3283.25,3296.17,3273.33,680.94M,-0.13%
2021-08-04,3280.38,3246.65,3283.14,3237.55,632.24M,1.34%
2021-08-03,3237.14,3221.57,3237.14,3213.2,653.51M,0.44%
2021-08-02,3223.04,3218.42,3223.04,3194,561.00M,0.65%
2021-07-30,3202.32,3234.37,3234.66,3202.32,687.86M,-1.24%
2021-07-29,3242.65,3248.49,3252.26,3232.5,694.82M,0.18%
2021-07-28,3236.86,3226.06,3243.21,3210.9,868.60M,0.13%
2021-07-27,3232.53,3244.43,3252.85,3230.75,991.94M,0.24%
2021-07-26,3224.95,3265.99,3265.99,3224.95,826.07M,-0.91%
2021-07-23,3254.42,3253.44,3264.01,3246.09,805.05M,0.13%
2021-07-22,3250.21,3235.17,3253.75,3235.17,712.98M,1.07%
2021-07-21,3215.91,3251.13,3252.25,3215.91,990.33M,-0.52%
2021-07-20,3232.7,3223.24,3234.8,3214.42,979.67M,-0.35%
